iter	Passed	Remaining
958	131498	5621
959	131651	5485
960	131790	5348
961	131910	5210
962	132056	5073
963	132182	4936
964	132299	4798
965	132435	4661
966	132575	4524
967	132705	4386
968	132851	4250
969	132975	4112
970	133127	3976
971	133254	3838
972	133390	3701
973	133527	3564
974	133672	3427
975	133827	3290
976	133972	3153
977	134118	3016
978	134282	2880
979	134421	2743
980	134552	2606
981	134699	2469
982	134852	2332
983	134979	2194
984	135118	2057
985	135261	1920
986	135403	1783
987	135576	1646
988	135705	1509
989	135840	1372
990	135994	1235
991	136137	1097
992	136286	960
993	136421	823
994	136562	686
995	136705	549
996	136849	411
997	137004	274
998	137126	137
999	137268	0
